url,srcFileName,ignoredMappings,ignoredElements,TP_raw,TP,FP,FN,TP_raw,TP,FP,FN,TP_raw,TP,FP,FN,TP_raw,TP,FP,FN,TP_raw,TP,FP,FN,TP_raw,TP,FP,FN
https://github.com/jayway/rest-assured/commit/7cac88b9a28efc05bdc60e585e3291862ffc9da1,examples.rest-assured-itest-java.src.test.json.com.jayway.restassured.itest.json.SSLITest.json,214,22,217,3,0,0,23,1,0,0,215,1,0,2,23,1,0,0,217,3,0,0,23,1,0,0
https://github.com/CyanogenMod/android_frameworks_base/commit/153611deab149accd8aeaf03fd102c0b069bd322,core.json.com.android.internal.widget.LockPatternView.json,940,140,984,44,0,0,145,5,0,0,973,33,9,11,144,4,1,1,974,34,9,10,144,4,1,1
https://github.com/CyanogenMod/android_frameworks_base/commit/153611deab149accd8aeaf03fd102c0b069bd322,core.json.com.android.internal.widget.LockPatternUtils.json,1444,182,1459,15,0,0,184,2,0,0,1452,8,11,7,183,1,1,1,1454,10,5,5,183,1,1,1
https://github.com/MovingBlocks/Terasology/commit/dbd2d5048ae5e30fec98ddd969b6c1e91183fb65,engine.src.main.json.org.terasology.world.chunks.remoteChunkProvider.RemoteChunkProvider.json,324,45,337,13,0,0,51,6,0,0,335,11,2,2,49,4,0,2,337,13,2,0,49,4,0,2
https://github.com/MovingBlocks/Terasology/commit/dbd2d5048ae5e30fec98ddd969b6c1e91183fb65,engine.src.main.json.org.terasology.engine.modes.loadProcesses.InitialiseRemoteWorld.json,19,5,52,33,0,0,7,2,0,0,52,33,0,0,7,2,0,0,52,33,0,0,7,2,0,0
https://github.com/VoltDB/voltdb/commit/d47e58f9bbce9a816378e8a7930c1de67a864c29,src.frontend.org.voltdb.InternalConnectionHandler.json,23,9,96,73,0,0,11,2,0,0,96,73,0,0,11,2,0,0,95,72,1,1,11,2,0,0
https://github.com/VoltDB/voltdb/commit/d47e58f9bbce9a816378e8a7930c1de67a864c29,src.frontend.org.voltdb.ImportHandler.json,124,22,139,15,0,0,24,2,0,0,132,8,7,7,23,1,1,1,132,8,7,7,23,1,1,1
https://github.com/geoserver/geoserver/commit/07c26a3a1dd6fcc2494c2d755ee5a2753e0df87c,src.wfs.src.test.json.org.geoserver.wfs.xml.WFSURIHandlerTest.json,116,16,116,0,0,0,16,0,0,0,116,0,0,0,16,0,0,0,116,0,0,0,16,0,0,0
https://github.com/geoserver/geoserver/commit/07c26a3a1dd6fcc2494c2d755ee5a2753e0df87c,src.wfs.src.test.json.org.geoserver.wfs.xml.PropertyRule.json,48,10,50,2,0,0,11,1,0,0,50,2,0,0,11,1,0,0,50,2,0,0,11,1,0,0
https://github.com/spring-attic/spring-roo/commit/0bb4cca1105fc6eb86e7c4b75bfff3dbbd55f0c8,runtime.classpath.src.main.json.org.springframework.roo.classpath.details.AbstractInvocableMemberMetadataBuilder.json,97,21,119,22,0,0,24,3,0,0,119,22,0,0,24,3,0,0,119,22,0,0,24,3,0,0
https://github.com/spring-attic/spring-roo/commit/0bb4cca1105fc6eb86e7c4b75bfff3dbbd55f0c8,runtime.classpath.src.main.json.org.springframework.roo.classpath.details.MethodMetadataBuilder.json,79,13,92,13,0,0,15,2,0,0,92,13,2,0,15,2,0,0,88,9,2,4,15,2,0,0
https://github.com/jOOQ/jOOQ/commit/227254cf769f3e821ed1b2ef2d88c4ec6b20adea,jOOQ.src.main.json.org.jooq.Result.json,1558,205,1569,11,0,0,209,4,0,0,1558,0,9,11,206,1,3,3,1560,2,9,9,206,1,3,3
https://github.com/jOOQ/jOOQ/commit/227254cf769f3e821ed1b2ef2d88c4ec6b20adea,jOOQ.src.main.json.org.jooq.impl.ResultImpl.json,3169,256,3274,105,0,0,266,10,0,0,3210,41,47,64,257,1,6,9,3216,47,52,58,258,2,7,8
https://github.com/hazelcast/hazelcast/commit/f1e26fa73074a89680a2e1756d85eb80ad87c3bf,hazelcast.src.test.json.com.hazelcast.query.PredicatesTest.json,366,49,366,0,0,0,49,0,0,0,366,0,0,0,49,0,0,0,366,0,2,0,49,0,0,0
https://github.com/hazelcast/hazelcast/commit/f1e26fa73074a89680a2e1756d85eb80ad87c3bf,hazelcast.src.main.json.com.hazelcast.query.Predicates.json,120,16,123,3,0,0,17,1,0,0,123,3,12,0,17,1,0,0,120,0,12,3,16,0,0,1
https://github.com/JetBrains/intellij-community/commit/6905d569a1e39d0d7b1ec5ceee4f0bbe60b85947,python.educational.src.com.jetbrains.edu.courseFormat.Lesson.json,67,18,69,2,0,0,19,1,0,0,69,2,0,0,19,1,0,0,69,2,0,0,19,1,0,0
https://github.com/JetBrains/intellij-community/commit/6905d569a1e39d0d7b1ec5ceee4f0bbe60b85947,python.educational.src.com.jetbrains.edu.courseFormat.Task.json,206,30,208,2,0,0,31,1,0,0,208,2,0,0,31,1,0,0,208,2,0,0,31,1,0,0
https://github.com/Atmosphere/atmosphere/commit/69c229b7611ff8c6a20ff2d4da917a68c1cde64a,modules.cpr.src.main.json.org.atmosphere.util.Utils.json,245,18,248,3,0,0,19,1,0,0,245,0,0,3,19,1,0,0,248,3,0,0,19,1,0,0
